Sistema, Usuario, CPU, Memoria, espacioDisco, espacioLibre, porcentajeOcupado, Usb 
Windows 11,Zeben,0.09,69.18,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.05,69.15,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.53,69.21,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.94,69.07,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.75,68.94,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.96,68.95,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.15,73.8,947.0,213.0,77.51,USBX,
Windows 11,Zeben,4.75,73.76,947.0,213.0,77.51,USBX,
Windows 11,Zeben,3.59,73.75,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.05,73.76,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.29,73.56,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.58,73.55,947.0,213.0,77.51,USBX,
Windows 11,Zeben,3.03,73.68,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.28,73.74,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.67,73.78,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.54,73.77,947.0,213.0,77.51,USBX,
Windows 11,Zeben,2.4,73.95,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.15,73.98,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.2,73.9,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.8,73.92,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.2,73.93,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.95,73.97,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.73,73.98,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.63,73.99,947.0,213.0,77.51,USBX,
Windows 11,Zeben,2.29,73.97,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.62,73.97,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.89,73.96,947.0,213.0,77.51,USBX,
Windows 11,Zeben,2.38,73.95,947.0,213.0,77.51,USBX,
Windows 11,Zeben,4.4,73.77,947.0,213.0,77.51,USBX,
Windows 11,Zeben,2.39,73.76,947.0,213.0,77.51,USBX,
Windows 11,Zeben,3.14,73.71,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.44,73.73,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.38,73.69,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.29,73.77,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.33,73.71,947.0,213.0,77.51,USBX,
Windows 11,Zeben,2.87,73.71,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.78,73.66,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.54,73.66,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.49,73.66,947.0,213.0,77.51,USBX,
Windows 11,Zeben,3.35,73.71,947.0,213.0,77.51,USBX,
Windows 11,Zeben,2.29,73.71,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.47,73.68,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.38,73.68,947.0,213.0,77.51,USBX,
Windows 11,Zeben,4.63,74.37,947.0,213.0,77.51,USBX,
Windows 11,Zeben,2.1,74.38,947.0,213.0,77.51,USBX,
Windows 11,Zeben,2.01,74.35,947.0,213.0,77.51,USBX,
Windows 11,Zeben,2.93,60.74,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.47,60.6,947.0,213.0,77.51,USBX,
Windows 11,Zeben,2.27,60.62,947.0,213.0,77.51,USBX,
Windows 11,Zeben,4.42,60.62,947.0,213.0,77.51,USBX,
Windows 11,Zeben,2.65,60.6,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.38,60.6,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.85,60.59,947.0,213.0,77.51,USBX,
Windows 11,Zeben,4.36,61.15,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.28,61.21,947.0,213.0,77.51,USBX,
Windows 11,Zeben,4.03,61.09,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.05,61.08,947.0,213.0,77.51,USBX,
Windows 11,Zeben,3.26,60.75,947.0,213.0,77.51,USBX,
Windows 11,Zeben,2.12,60.62,947.0,213.0,77.51,USBX,
Windows 11,Zeben,2.29,59.29,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.28,59.17,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.9,59.17,947.0,213.0,77.51,USBX,
Windows 11,Zeben,3.82,59.54,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.57,59.56,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.84,59.46,947.0,213.0,77.51,USBX,
Windows 11,Zeben,6.94,59.71,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.92,59.71,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.39,59.6,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.57,59.6,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.09,59.59,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.95,59.61,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.0,59.6,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.95,59.6,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.23,59.2,947.0,213.0,77.51,USBX,
Windows 11,Zeben,3.43,59.39,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.98,59.26,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.05,59.27,947.0,213.0,77.51,USBX,
Windows 11,Zeben,3.44,59.37,947.0,213.0,77.51,USBX,
Windows 11,Zeben,2.09,59.37,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.9,59.3,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.66,59.3,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.58,59.37,947.0,213.0,77.51,USBX,
