Sistema, Usuario, CPU, Memoria, espacioDisco, espacioLibre, porcentajeOcupado, Usb 
Windows 11,Patroclo,1.83,63.39,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.87,63.32,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.19,63.32,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.18,63.32,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.76,63.38,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.29,63.31,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.28,63.31,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.09,63.31,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.86,63.31,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.66,63.31,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.57,61.9,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.28,61.84,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.57,61.84,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.32,61.79,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,2.97,61.8,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.23,61.79,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.24,61.8,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,2.56,61.8,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.95,61.78,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.1,61.85,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.96,61.84,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.38,61.84,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.73,61.84,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.19,61.84,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.62,61.84,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.65,61.87,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,3.35,61.86,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.35,61.88,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,4.72,61.83,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,3.11,61.83,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.58,61.83,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.68,61.83,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.38,61.83,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.28,61.84,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.37,61.84,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.19,61.86,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.97,61.87,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.68,62.03,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.38,62.09,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.47,62.09,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.29,62.1,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,2.44,62.1,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.1,62.09,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.19,62.09,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.48,62.1,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.38,62.08,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.57,61.99,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.85,61.95,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,2.37,62.08,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.28,62.03,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.66,62.07,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.47,62.07,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.38,62.06,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.57,62.05,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.57,62.06,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.19,62.06,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.19,62.06,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.32,62.0,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,3.12,62.02,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,2.07,62.01,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,2.84,62.01,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.89,62.0,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,2.43,61.53,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.09,61.53,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.28,61.53,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.78,61.54,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.89,61.34,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.75,61.41,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.47,61.41,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.19,61.37,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.38,61.41,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.31,61.43,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.98,61.42,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.37,61.42,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,5.96,61.41,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,11.59,61.47,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,7.92,61.68,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,11.12,61.69,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,8.19,61.69,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,7.25,61.69,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,8.21,61.68,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,3.0,61.67,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.29,61.34,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.75,61.34,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.19,61.35,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.84,61.2,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.19,61.23,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,2.38,61.23,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.19,61.24,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.18,61.25,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.19,61.25,947.0,212.0,77.61,USBX,
