Sistema,Usuario,CPU (%),Memoria (%),Espacio en disco (GB),Espacio libre (GB),Porcentaje ocupado (%)
Windows 11,Zeben,2.34,69.12,947.00,205.00,78.35
Windows 11,Zeben,1.88,69.11,947.00,205.00,78.35
Windows 11,Zeben,2.86,69.11,947.00,205.00,78.35
Windows 11,Zeben,0.28,69.11,947.00,205.00,78.35
Windows 11,Zeben,1.51,69.21,947.00,205.00,78.35
Windows 11,Zeben,2.27,69.17,947.00,205.00,78.35
Windows 11,Zeben,1.29,69.21,947.00,205.00,78.35
Windows 11,Zeben,1.05,68.99,947.00,205.00,78.35
Windows 11,Zeben,0.47,68.95,947.00,205.00,78.35
Windows 11,Zeben,1.29,69.06,947.00,205.00,78.35
Windows 11,Zeben,3.12,69.61,947.00,205.00,78.35
Windows 11,Zeben,1.89,69.40,947.00,205.00,78.35
Windows 11,Zeben,2.33,69.53,947.00,205.00,78.35
Windows 11,Zeben,3.54,70.17,947.00,205.00,78.35
Windows 11,Zeben,1.72,70.18,947.00,205.00,78.35
Windows 11,Zeben,0.28,70.00,947.00,205.00,78.35
Windows 11,Zeben,0.39,70.49,947.00,205.00,78.35
Windows 11,Zeben,2.29,70.55,947.00,205.00,78.35
Windows 11,Zeben,1.01,70.62,947.00,205.00,78.35
Windows 11,Zeben,1.06,70.57,947.00,205.00,78.35
Windows 11,Zeben,1.93,70.57,947.00,205.00,78.35
Windows 11,Zeben,0.48,70.70,947.00,205.00,78.35
Windows 11,Zeben,2.77,71.14,947.00,205.00,78.35
Windows 11,Zeben,1.82,70.73,947.00,205.00,78.35
Windows 11,Zeben,1.06,70.65,947.00,205.00,78.35
Windows 11,Zeben,1.51,70.66,947.00,205.00,78.35
